Date,Time,Bitcoin,Bitcoin Yield,Bitcoin Cash,Bitcoin Cash Yield,Cardano,Cardano Yield,Celo,Celo Yield,Dogecoin,Dogecoin Yield,Ethereum,Ethereum Yield,Gemini,Gemini Yield,Lightning,Lightning Yield,Litecoin,Litecoin Yield,Polygon,Polygon Yield,Spedn,Spedn Yield,Solana,Solana Yield,Tezos,Tezos Yield,Zcash,Zcash Yield
10/12/22,11:29,"1,665,578,339",6.09%,"435,145,747",8.00%,"383,228,692",9.10%,"365,477,372",9.55%,"367,279,204",9.51%,"1,671,492,328",6.06%,"3,550,770,483",0.00%,"5,746,729,781",10.49%,"348,757,319",10.02%,"1,313,561,039",6.41%,"4,642,061,364",6.08%,"816,968,115",10.37%,"337,335,780",10.37%,"363,945,544",9.59%
10/12/22,11:30,"1,665,578,339",6.09%,"435,145,747",8.00%,"383,228,692",9.10%,"365,477,372",9.55%,"367,279,204",9.51%,"1,671,492,328",6.06%,"3,550,770,483",0.00%,"5,746,729,781",10.49%,"348,757,319",10.02%,"1,313,561,039",6.41%,"4,642,061,364",6.08%,"816,968,115",10.37%,"337,335,780",10.37%,"363,945,544",9.59%
